Futaleufú, Población total sabe leer y escribir, 1390.0
Palena, Población total sabe leer y escribir, 1255.0
Región De Aysén Del Gral. Carlos Ibáñez Del Campo, Población total sabe leer y escribir, 71151.0
Guaitecas, Población total sabe leer y escribir, 1103.0
Lago Verde, Población total sabe leer y escribir, 790.0
Cisnes, Población total sabe leer y escribir, 4462.0
Aysén, Población total sabe leer y escribir, 17472.0
Coyhaique, Población total sabe leer y escribir, 39216.0
Río Ibáñez, Población total sabe leer y escribir, 1835.0
Chile Chico, Población total sabe leer y escribir, 3419.0
Cochrane, Población total sabe leer y escribir, 2126.0
Tortel, Población total sabe leer y escribir, 380.0
O’higgins, Población total sabe leer y escribir, 348.0
Región De Magallanes Y De La Antártica Chilena, Población total sabe leer y escribir, 125562.0
Torres Del Paine, Población total sabe leer y escribir, 668.0
Natales, Población total sabe leer y escribir, 15618.0
Laguna Blanca, Población total sabe leer y escribir, 596.0
San Gregorio, Población total sabe leer y escribir, 1062.0
Río Verde, Población total sabe leer y escribir, 335.0
Primavera, Población total sabe leer y escribir, 882.0
Punta Arenas, Población total sabe leer y escribir, 99458.0
Porvenir, Población total sabe leer y escribir, 4648.0
Timaukel, Población total sabe leer y escribir, 398.0
Cabo De Hornos, Población total sabe leer y escribir, 1773.0
Antártica, Población total sabe leer y escribir, 124.0
